max_weight,anio,perfil,prob_aceptacion_prom,prob_abandono_prom,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
0.2,2025,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.2,2025,conservador,0.9932965819804731,0.0,0.2179,0.0754,2.89,0.0324,12,False,11366.0,1.0,0.0
0.2,2025,neutro,0.999958348443529,0.0,0.0998,0.0658,1.5164,0.035,12,False,10676.03,1.0,0.0
0.2,2025,arriesgado,1.0,0.0,-0.1022,0.158,-0.6466,0.1858,12,False,9735.83,1.0,0.0
0.2,2025,muy_arriesgado,1.0,0.0,-0.1926,0.2059,-0.9351,0.2644,12,False,9132.26,1.0,0.0
0.2,2026,muy_conservador,0.5,0.0,-0.0066,0.0,0.0,0.0,3,False,2497.92,0.3333,1.0
0.2,2026,conservador,0.9791099136256022,0.0,-0.1012,0.1518,-0.6669,0.0453,3,False,2605.04,1.0,0.0
0.2,2026,neutro,0.9998991167344387,0.0,0.0843,0.1467,0.5745,0.0185,3,False,2644.36,1.0,0.0
0.2,2026,arriesgado,1.0,0.0,-0.1169,0.1778,-0.6573,0.0621,3,False,2773.08,1.0,0.0
0.2,2026,muy_arriesgado,1.0,0.0,-0.1585,0.23,-0.6892,0.092,3,False,2894.64,1.0,0.0
0.25,2019,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.25,2019,conservador,0.04185917739427872,0.1470060408610933,0.095,0.1571,0.6044,0.0602,5,True,4802.7,0.2,0.0051
0.25,2019,neutro,0.9633184843640131,0.0,0.1614,0.067,2.4103,0.0248,12,False,11221.3,0.9167,0.0002
0.25,2019,arriesgado,0.9999999834510654,0.0,0.217,0.1517,1.4307,0.1069,12,False,12143.11,1.0,0.0
0.25,2019,muy_arriesgado,0.9999999992252633,0.0,0.2534,0.2248,1.1269,0.1838,12,False,12837.36,1.0,0.0
0.25,2020,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.25,2020,conservador,0.9997019803129688,0.49908947578195384,-0.3353,,0.0,0.1131,2,True,1599.56,1.0,0.0
0.25,2020,neutro,0.9999999991804075,0.33330721966851834,-0.6368,0.2602,-2.4475,0.2445,3,True,2301.66,1.0,0.0
0.25,2020,arriesgado,0.9702305147115302,0.0,0.2447,0.2673,0.9154,0.2168,12,False,10419.92,1.0,0.0
0.25,2020,muy_arriesgado,0.9998580005968232,0.0,0.4559,0.3134,1.4545,0.1975,12,False,11139.76,1.0,0.0
0.25,2021,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.25,2021,conservador,0.883309124714499,0.5812485591598301,0.0,,0.0,0.0533,1,True,867.65,1.0,0.0
0.25,2021,neutro,0.7500539790941386,0.0,0.371,0.1274,2.9115,0.0642,12,False,12790.93,0.75,0.0009
0.25,2021,arriesgado,1.0,0.0,0.2546,0.1808,1.4083,0.0962,12,False,11811.1,1.0,0.0
0.25,2021,muy_arriesgado,1.0,0.0,0.1593,0.2426,0.6568,0.1585,12,False,11558.35,1.0,0.0
0.25,2022,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.25,2022,conservador,0.9998663811853665,0.37846424952014,-0.1468,0.183,-0.802,0.0866,4,True,3211.61,1.0,0.0
0.25,2022,neutro,0.3461221464588984,0.16777688142615063,-0.2095,0.1998,-1.0483,0.1897,9,True,6896.32,0.3333,0.0057
0.25,2022,arriesgado,0.9489709206476812,0.0,-0.0289,0.1399,-0.2069,0.166,12,False,9548.59,0.9167,0.0003
0.25,2022,muy_arriesgado,0.9996526559330992,0.0,-0.043,0.1653,-0.2601,0.1857,12,False,9326.94,1.0,0.0
0.25,2023,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.25,2023,conservador,1.6763291673128164e-05,0.15512030922994266,-0.1139,0.0534,-2.1352,0.0624,5,True,4480.53,0.0,0.0062
0.25,2023,neutro,0.003004294361371116,0.0,0.1368,0.1557,0.8783,0.0702,12,False,11242.98,0.0,0.0131
0.25,2023,arriesgado,0.5256755518057273,0.0,0.067,0.0912,0.7341,0.0423,12,False,10114.1,0.5,0.0018
0.25,2023,muy_arriesgado,0.9319506082450554,0.0,0.0442,0.1236,0.3576,0.0675,12,False,10054.3,1.0,0.0
0.25,2024,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.25,2024,conservador,0.9846163749431649,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
0.25,2024,neutro,0.6790649509395972,0.0,0.2816,0.1003,2.8087,0.0331,12,False,11439.14,0.75,0.0008
0.25,2024,arriesgado,0.9590085503669673,0.0,0.2466,0.1499,1.6458,0.0507,12,False,12421.63,0.9167,0.0002
0.25,2024,muy_arriesgado,0.9999999999764023,0.0,0.2397,0.2052,1.1683,0.0783,12,False,12971.65,1.0,0.0
0.25,2025,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.25,2025,conservador,0.9932965819804731,0.0,0.2179,0.0754,2.89,0.0324,12,False,11366.0,1.0,0.0
0.25,2025,neutro,0.9999583258076701,0.0,0.1,0.0659,1.5176,0.035,12,False,10678.5,1.0,0.0
0.25,2025,arriesgado,1.0,0.0,-0.1099,0.1612,-0.6817,0.1904,12,False,9789.13,1.0,0.0
0.25,2025,muy_arriesgado,1.0,0.0,-0.2234,0.2115,-1.0564,0.2896,12,False,9098.98,1.0,0.0
0.25,2026,muy_conservador,0.5,0.0,-0.0066,0.0,0.0,0.0,3,False,2497.92,0.3333,1.0
0.25,2026,conservador,0.9791099136256022,0.0,-0.1012,0.1518,-0.6669,0.0453,3,False,2605.04,1.0,0.0
0.25,2026,neutro,0.9998990606406095,0.0,0.0843,0.1466,0.5752,0.0185,3,False,2644.21,1.0,0.0
0.25,2026,arriesgado,1.0,0.0,-0.1165,0.1778,-0.6554,0.0619,3,False,2772.79,1.0,0.0
0.25,2026,muy_arriesgado,1.0,0.0,-0.1685,0.2234,-0.7541,0.094,3,False,2890.04,1.0,0.0
